Date,Open,High,Low,Close
20180707,6668.71,6863.99,6579.24,6856.93
20180708,6857.8,6885.91,6747.98,6773.88
20180709,6775.08,6838.68,6724.34,6741.75
20180710,6739.21,6767.74,6320.72,6329.95
20180711,6330.77,6444.96,6330.47,6394.71
20180712,6396.78,6397.1,6136.42,6228.81
20180713,6235.03,6310.55,6192.24,6238.05
20180714,6247.5,6298.19,6212.22,6276.12
20180715,6272.7,6403.46,6256.51,6359.64
20180716,6357.01,6741.75,6357.01,6741.75
20180717,6739.65,7387.24,6684.17,7321.04
20180718,7315.32,7534.99,7280.47,7370.78
20180719,7378.2,7494.46,7295.46,7466.86
20180720,7467.4,7594.67,7323.26,7354.13
20180721,7352.72,7437.64,7262.41,7419.29
20180722,7417.8,7537.95,7383.82,7418.49
20180723,7414.71,7771.5,7409.1,7711.11
20180724,7716.51,8424.27,7705.5,8424.27
20180725,8379.66,8416.87,8086.36,8181.39
20180726,8176.85,8290.33,7878.71,7951.58
20180727,7950.4,8262.66,7839.76,8165.01
20180728,8169.06,8222.85,8110.77,8192.15
20180729,8205.82,8272.26,8141.18,8218.46
20180730,8221.58,8235.5,7917.5,8180.48
20180731,8181.2,8181.53,7696.93,7780.44
20180801,7769.04,7769.04,7504.95,7624.91
20180802,7634.19,7712.77,7523.44,7567.15
20180803,7562.14,7562.14,7328.65,7434.39
20180804,7438.67,7497.49,6984.07,7032.85
20180805,7031.08,7102.77,6940.7,7068.48
20180806,7062.94,7166.55,6890.54,6951.8
20180807,6958.32,7146.56,6748.24,6753.12
20180808,6746.85,6746.85,6226.22,6305.8
20180809,6305.56,6625.73,6249.07,6568.23
20180810,6571.42,6591.26,6124.52,6184.71
20180811,6185.79,6455.74,6109.03,6295.73
20180812,6283.65,6409.85,6237.5,6322.69
20180813,6341.36,6537.05,6225.72,6297.57
20180814,6287.66,6287.94,5971.05,6199.71
20180815,6221.42,6588.49,6221.42,6308.52
20180816,6294.23,6473.5,6276.41,6334.73
20180817,6340.91,6582.5,6324.97,6580.63
20180818,6583.43,6617.35,6353.73,6423.76
20180819,6422.57,6537.98,6361.55,6506.07
20180820,6500.51,6536.92,6297.93,6308.53
